  0.0000000E+00           0
   9.613662               1
   19.22732               1
   28.84099               8
   38.45465              11
   48.06831              23
   57.68197              35
   67.29564              50
   76.90929              60
   86.52296              75
   96.13662              88
   105.7503             111
   115.3639             148
   124.9776             173
   134.5913             179
   144.2049             197
   153.8186             249
   163.4323             267
   173.0459             349
   182.6596             380
   192.2732             368
   201.8869             378
   211.5006             434
   221.1142             498
   230.7279             493
   240.3416             548
   249.9552             612
   259.5689             693
   269.1826             704
   278.7962             780
   288.4099             844
   298.0235             805
   307.6372             922
   317.2509             893
   326.8645            1010
   336.4782            1019
   346.0918            1104
   355.7055            1158
   365.3192            1200
   374.9328            1278
   384.5465            1310
   394.1601            1448
   403.7738            1434
   413.3875            1541
   423.0011            1532
   432.6148            1518
   442.2285            1589
   451.8421            1749
   461.4558            1757
   471.0695            1841
   480.6831            1877
   490.2968            1884
   499.9104            1921
   509.5241            2125
   519.1378            1958
   528.7514            2165
   538.3651            2199
   547.9787            2065
   557.5924            2279
   567.2061            2301
   576.8197            2395
   586.4334            2369
   596.0470            2415
   605.6607            2510
   615.2744            2541
   624.8881            2663
   634.5017            2647
   644.1154            2586
   653.7290            2652
   663.3427            2837
   672.9564            2841
   682.5700            2785
   692.1837            2941
   701.7974            2977
   711.4110            2958
   721.0247            3075
   730.6383            3120
   740.2520            3068
   749.8657            3242
   759.4794            3253
   769.0930            3235
   778.7067            3433
   788.3203            3304
   797.9340            3315
   807.5476            3371
   817.1613            3409
   826.7749            3392
   836.3886            3463
   846.0023            3419
   855.6160            3405
   865.2296            3486
   874.8433            3429
   884.4569            3404
   894.0706            3611
   903.6842            3550
   913.2979            3473
   922.9116            3546
   932.5253            3647
   942.1389            3510
   951.7526            3523
   961.3662            3542
   970.9799            3502
   980.5936            3504
   990.2072            3550
   999.8209            3589
   1009.435            3498
   1019.048            3553
   1028.662            3653
   1038.276            3522
   1047.889            3725
   1057.503            3533
   1067.116            3554
   1076.730            3625
   1086.344            3501
   1095.957            3485
   1105.571            3406
   1115.185            3435
   1124.798            3324
   1134.412            3480
   1144.026            3533
   1153.639            3288
   1163.253            3320
   1172.867            3319
   1182.480            3292
   1192.094            3370
   1201.708            3219
   1211.321            3216
   1220.935            3117
   1230.549            3163
   1240.162            3114
   1249.776            3136
   1259.390            2978
   1269.003            3086
   1278.617            2970
   1288.231            2976
   1297.844            2929
   1307.458            2925
   1317.072            2801
   1326.685            2781
   1336.299            2854
   1345.913            2755
   1355.526            2674
   1365.140            2664
   1374.754            2685
   1384.367            2629
   1393.981            2518
   1403.595            2510
   1413.208            2454
   1422.822            2400
   1432.436            2421
   1442.049            2349
   1451.663            2299
   1461.277            2311
   1470.890            2279
   1480.504            2235
   1490.118            2135
   1499.731            2110
   1509.345            2068
   1518.959            2029
   1528.572            1993
   1538.186            1927
   1547.800            1926
   1557.413            1864
   1567.027            1878
   1576.641            1719
   1586.254            1722
   1595.868            1743
   1605.481            1676
   1615.095            1707
   1624.709            1654
   1634.323            1614
   1643.936            1528
   1653.550            1509
   1663.164            1513
   1672.777            1465
   1682.391            1363
   1692.005            1418
   1701.618            1298
   1711.232            1307
   1720.845            1283
   1730.459            1255
   1740.073            1237
   1749.687            1194
   1759.300            1154
   1768.914            1119
   1778.527            1081
   1788.141            1138
   1797.755            1025
   1807.368            1027
   1816.982             976
   1826.596             941
   1836.209             977
   1845.823             886
   1855.437             912
   1865.051             808
   1874.664             789
   1884.278             809
   1893.891             796
   1903.505             764
   1913.119             782
   1922.732             732
   1932.346             675
   1941.960             713
   1951.573             679
   1961.187             628
   1970.801             600
   1980.414             619
   1990.028             585
   1999.642             558
   2009.255             562
   2018.869             503
   2028.483             507
   2038.096             476
   2047.710             452
   2057.324             434
   2066.937             476
   2076.551             440
   2086.165             462
   2095.778             432
   2105.392             409
   2115.006             415
   2124.619             377
   2134.233             393
   2143.847             350
   2153.460             336
   2163.074             311
   2172.688             305
   2182.301             282
   2191.915             295
   2201.529             263
   2211.142             257
   2220.756             232
   2230.370             260
   2239.983             242
   2249.597             213
   2259.211             190
   2268.824             216
   2278.438             206
   2288.052             190
   2297.665             181
   2307.279             205
   2316.893             180
   2326.506             178
   2336.120             162
   2345.734             176
   2355.347             143
   2364.961             162
   2374.574             160
   2384.188             127
   2393.802             110
   2403.416             111
   2413.029             127
   2422.643             118
   2432.256             138
   2441.870             118
   2451.484             136
   2461.097             125
   2470.711             105
   2480.325             100
   2489.939             117
   2499.552              95
   2509.166              94
   2518.780              86
   2528.393              72
   2538.007              75
   2547.621              63
   2557.234              62
   2566.848              61
   2576.461              52
   2586.075              59
   2595.689              47
   2605.302              54
   2614.916              43
   2624.530              43
   2634.144              39
   2643.757              36
   2653.371              34
   2662.984              37
   2672.598              34
   2682.212              28
   2691.825              35
   2701.439              23
   2711.053              26
   2720.666              21
   2730.280              30
   2739.894              27
   2749.508              25
   2759.121              34
   2768.735              25
   2778.348              24
   2787.962              24
   2797.576              25
   2807.189              17
   2816.803              13
   2826.417              15
   2836.031              19
   2845.644              14
   2855.258              15
   2864.871              14
   2874.485              21
   2884.099              10
   2893.712              18
   2903.326              13
   2912.940               5
   2922.553              19
   2932.167              13
   2941.781               7
   2951.394              17
   2961.008               8
   2970.622              10
   2980.236               8
   2989.849               9
   2999.463              13
   3009.076              14
   3018.690               5
   3028.304              10
   3037.917               9
   3047.531               4
   3057.145               7
   3066.758               3
   3076.372              10
   3085.986               5
   3095.599               9
   3105.213               2
   3114.827               5
   3124.440               4
   3134.054               5
   3143.668               3
   3153.281               2
   3162.895               4
